Brand Name,Frequency,Timing,Available in London,Rating for Vishen,Feb 2026,Claude,Pill Dosage,Ingredients,Supplement Uses (from Ingredients),Nov25,Dec 2025,Case,Notes,Suggested Dose,Website,Image,Uses,Synergies,Don't Take With,Synergistic
Alpha GPC,Daily,☀️ Morning: Fasted,Ordered,8,checked,checked,300-600mg,Geniuspure Alpha-GPC,🧠 Nootropics / Cognitive,,,,,"cognitive health 1,200 mg for boosting power output (300mg alone doubles focus in studies)
300-600mg (30 - 60min before exercise).  Studies show increased strenght and muscle fibre recruitment before gym. ",,,🧠 Nootropics / Cognitive,,,"Alpha-GPC overview
- A fast-absorbing choline donor that raises acetylcholine (focus, learning) and supports phosphatidylcholine (cell membranes). GeniusPure Alpha-GPC is the same core ingredient; synergies below apply regardless of brand. If the product is a 50% Alpha-GPC yield, adjust dose accordingly (e.g., 300 mg of 50% provides ~150 mg Alpha-GPC).

Best same-day synergies
- Acetyl-L-carnitine (ALCAR): Provides acetyl groups to combine with choline for acetylcholine synthesis; supports mitochondrial energy. Typical: 500–1,000 mg with Alpha-GPC.
- Uridine monophosphate + DHA (omega-3) + B-vitamins (B6, B12, folate): Complements choline in the Kennedy pathway for membrane phospholipid/synapse support. Typical: uridine 150–250 mg, DHA 500–1,000 mg, standard B-complex.
- Phosphatidylserine (PS): Membrane fluidity and stress-axis support; pairs well with cholinergic support. Typical: 100–200 mg.
- L-tyrosine: Catecholamine precursor for focus under stress; complements cholinergic tone. Typical: 300–500 mg (NALT 250–350 mg).
- Caffeine + L-theanine: Alertness with smoother feel; plays well with Alpha-GPC for clean focus. Typical: caffeine 50–200 mg + theanine 100–200 mg.
- Rhodiola rosea (std. ~3% rosavins): Stress resilience and mental energy; can reduce mental fatigue. Typical: 200–400 mg early day.
- Lion’s mane (hericium erinaceus, fruiting body): Nerve growth factor support; long-term cognitive complement. Typical: 500–1,000 mg.
- Creatine monohydrate: Cellular energy and cognitive support (especially if low meat intake or sleep-deprived). Typical: 3–5 g daily.
- Magnesium (glycinate or L-threonate): Balances excitability and may help sleep if Alpha-GPC is stimulating. Typical: 200–400 mg in the evening.

Pre-workout angle
- Alpha-GPC 300–600 mg 30–60 min pre-workout can aid power output; stacking with caffeine (and/or creatine, beta-alanine) is common for performance.

Combos to use cautiously or avoid
- Huperzine A or other acetylcholinesterase inhibitors (galantamine, donepezil): Additive cholinergic effect—risk of headache, nausea, brain fog, insomnia; if used, keep doses low and infrequent.
- Doubling major choline sources (e.g., high-dose citicoline/CDP-choline or large dietary choline load) the same day can cause cholinergic side effects; titrate based on how you feel.
- Anticholinergic meds (diphenhydramine, some antihistamines) can blunt Alpha-GPC’s cognitive effects.

Simple stack examples (same-day)
- Focus/work day: Alpha-GPC 300–600 mg + ALCAR 500–1,000 mg + caffeine 50–150 mg + L-theanine 100–200 mg; optional L-tyrosine 300–500 mg.
- Long-term brain support: Alpha-GPC 300 mg + uridine 150–250 mg + DHA 1,000 mg + B-complex + PS 100 mg; optional lion’s mane 500–1,000 mg.
- Performance: Alpha-GPC 300–600 mg + caffeine 100–200 mg + creatine 3–5 g; optional beta-alanine 2–3 g.

Dosing/timing tips
- Typical Alpha-GPC: 300–600 mg once or twice daily; start low. Take earlier in the day if it affects sleep (can intensify dreams).
- If your product is 50% yield, double the capsule weight to estimate actual Alpha-GPC provided.
- Monitor for cholinergic signs (headache, jaw tension, nausea); reduce dose or avoid stacking with other cholinergics if they appear.

Safety notes
- Avoid if pregnant/breastfeeding or if on cholinesterase inhibitors unless medically supervised.
- If you take anticholinergic or cholinergic medications, consider potential interactions.
- Keep total daily choline intake reasonable to avoid side effects."
Focus: 75g Alpa GPC,When Needed,☀️ Morning: Fasted,Have it,,checked,,75g,,,checked,,,,,,,,,,
L-Carnitine,Daily,☀️ Morning: Fasted,Have it,10,checked,checked,1500mg,Acetyl-L-Carnitine,⚡ Energy / Mitochondria,checked,checked,,"1. What it Does

Transports fatty acids into mitochondria → used as fuel for ATP production.

Enhances fat loss by improving fat oxidation (especially when combined with exercise).

Boosts exercise performance, endurance, and recovery.

May reduce muscle soreness and improve oxygen delivery to muscles.

Supports mitochondrial health and brain energy metabolism.

2. Synergies

✅ CoQ10 + Riboflavin (B2) → amplify mitochondrial ATP production.

✅ Alpha-Lipoic Acid (ALA) → improves fatty acid utilization and insulin sensitivity.

✅ Omega-3 → improves muscle recovery and enhances carnitine function.

✅ NR/NMN + TMG → stack with NAD+ boosters for cellular energy synergy.

3. What NOT to Take it With

❌ No major interactions, but avoid stacking with stimulant-based fat burners if you want clean fat metabolism (can be redundant).

❌ Excessive doses (>4 g/day) may cause GI upset or “fishy odor” from metabolites.

4. Timing & Why

Pre-workout (30–60 min before training) → maximizes fatty acid transport and endurance.

Can also be taken with breakfast to support daily energy and fat metabolism.

Works better when taken with food containing carbs + fats (improves tissue uptake).

5. Suggested Dosage (for you)

2000 mg/day (in divided doses).

1000 mg pre-workout

1000 mg with breakfast or lunch

6. Frequency

Daily, especially on workout days.

Long-term safe and effective for fat loss + energy.

7. Best Category

⚡ Energy / Mitochondria (primary)
❤️ Cardiovascular & Metabolic (secondary).

🎯 Rating for You

9 / 10

👉 L-Carnitine is a top-tier supplement for your current phase: it directly enhances fat loss metabolism, boosts muscle energy, and supports recovery and mitochondrial health — all core to your weight loss + hypertrophy + healing strategy.",1.5-3 grams by mouth daily,,,⚡ Energy / Mitochondria,,,"Synergies for L‑Carnitine (LC) and Acetyl‑L‑Carnitine (ALCAR)

Core mitochondrial/energy stack
- Alpha‑lipoic acid (ALA or R‑ALA): pairs with ALCAR for mitochondrial function and insulin sensitivity.
- Coenzyme Q10 (ubiquinone/ubiquinol): complements carnitine’s fat transport with ETC support.
- PQQ: potential mitochondrial biogenesis synergy with ALCAR/CoQ10.
- B‑vitamins (B1, B2, B3, B5, B6): cofactors in energy metabolism and carnitine pathways.
- Magnesium: cofactor for ATP-dependent reactions.

Cognition/acetylcholine support (especially with ALCAR)
- Choline donors (Alpha‑GPC 300–600 mg or CDP‑choline 250–500 mg): supports acetylcholine with ALCAR.
- DHA (omega‑3): structural neuronal support; pairs well with ALCAR for brain health.
- Optional: caffeine + L‑theanine for alert/calm stack with ALCAR.

Exercise/performance and recovery
- Creatine (3–5 g): complementary high‑energy phosphate system; stacks well with LC/ALCAR.
- L‑carnitine L‑tartrate (form of LC) + citrulline or GPLC: supports blood flow and recovery.
- Beta‑alanine: buffering capacity; independent but compatible.
- Practical uptake tip: take LC with carbohydrate/protein (e.g., 30–60 g carbs plus protein) to enhance muscle uptake via insulin.

Metabolic/cardiometabolic support
- Omega‑3s (EPA/DHA 1–2 g/day): pairs with LC for lipid metabolism and heart health.
- Taurine (1–3 g): cardiac, mitochondrial, and bile acid support; complementary to LC.
- NAC (600–1200 mg) and Vitamin C/E: antioxidant support alongside ALA/ALCAR.
- Riboflavin (B2) + niacin (B3) specifically aid redox pathways used with carnitine.

Endogenous carnitine synthesis cofactors (if not supplementing high-dose LC)
- Vitamin C, B6, niacin, iron, plus amino acid precursors lysine and methionine support internal carnitine synthesis. Do not add iron unless deficient.

Typical daily doses and timing
- L‑Carnitine (including L‑tartrate): 1–2 g/day; with meals, often with carbs/protein for uptake.
- Acetyl‑L‑Carnitine: 500–2000 mg/day; morning/early afternoon for cognition/energy.
- ALA: 300–600 mg/day (R‑ALA 100–300 mg); consider away from minerals.
- CoQ10: 100–200 mg/day with a fat‑containing meal.
- Omega‑3: 1–2 g EPA+DHA/day with meals.
- Creatine: 3–5 g/day anytime; consistency matters.
- Choline (Alpha‑GPC 300–600 mg or CDP‑choline 250–500 mg) with ALCAR earlier in the day.
- Magnesium: 200–400 mg/day, often evening.

Cautions
- Thyroid: carnitine can blunt thyroid hormone effects; use caution if on thyroid meds.
- Seizure disorders: high doses of ALCAR may not be suitable.
- ALA may chelate minerals; separate from iron/magnesium by a couple of hours.
- GI upset or stimulation (especially ALCAR) is possible; start low and take earlier in the day."
L-Tyrosine,On Gym Days,☀️ Morning: Fasted,Have it,7,checked,checked,500mg,L-Tyrosine,🛡️ Antioxidants / Detox,checked,checked,"Reduce Cortisol,Low Dopamine Metabolites (Truhealth)","Here’s your structured breakdown for L-Tyrosine 👇

1. What it Does

Amino acid precursor to dopamine, norepinephrine, and epinephrine.

Enhances focus, motivation, alertness, and cognitive performance — especially under stress, fatigue, or sleep deprivation.

Supports thyroid hormone production (T4/T3).

Can improve workout drive and endurance by sustaining catecholamine levels.

Your TruHealth flagged low dopamine metabolites, so tyrosine is especially relevant for you.

2. Synergies

✅ Caffeine + L-Theanine → smooth focus, enhanced alertness.

✅ Mucuna Pruriens (L-Dopa) → works downstream, amplifies dopamine pathways.

✅ B-vitamins (B6, folate, B12) → required as cofactors for neurotransmitter synthesis.

✅ Ashwagandha → balances stress hormones, complementing tyrosine’s catecholamine support.

3. What NOT to Take it With

❌ Avoid combining with thyroid meds unless supervised (can boost thyroid activity).

❌ Don’t stack with very high stimulants (excess dopamine/norepinephrine = jitteriness, anxiety).

⚠️ Space away from large protein meals → other amino acids compete for absorption.

4. Timing & Why

Pre-workout (30–60 min before gym) → maximizes dopamine/norepinephrine for drive and endurance.

Morning (empty stomach or light carb meal) → boosts focus and alertness at start of day.

Avoid late evening → may interfere with winding down for sleep.

5. Suggested Dosage (for you)

500–1000 mg per serving.

For you: 500 mg AM or pre-workout, up to 1000 mg total per day if needed on high-demand days.

6. Frequency

As needed, not mandatory daily.

Best on workout days, busy speaking days, or times of high stress/fatigue.

Can be used daily in lower doses, but works better if rotated to avoid tolerance.

7. Best Category

🧠 Nootropics / Cognitive (primary)
🧬 Hormonal / Endocrine Balance (secondary, thyroid + catecholamine production).

🎯 Rating for You

8 / 10

👉 L-Tyrosine is very relevant for you now: it supports focus, dopamine, thyroid, and workout drive, all of which you need for fat loss + muscle building + peak performance. It’s not a healing nutrient like collagen or NAC, but it’s one of your best performance enhancers in the stack.",100–150 mg/kg of bodyweight,,,🧠 Nootropics / Cognitive,,,
Lions Mane,Daily,☀️ Morning: Fasted,Have it,10,checked,checked,1000mg,Lion's Mane mushroom,,,,,,2g,,,,,,"Lion’s Mane (Hericium erinaceus) stacks well with several supplements for cognition, mood, and neuroplasticity. Best same‑day pairings:

- Caffeine + L‑theanine: smoother alert focus with fewer jitters. Typical: L‑theanine 100–200 mg with 50–100 mg caffeine in the morning.
- Choline donors (CDP‑choline 250–500 mg or Alpha‑GPC 150–300 mg): supports acetylcholine and learning.
- Omega‑3 (DHA‑rich, 500–1000 mg DHA): neuronal membrane support; take with meals.
- Bacopa monnieri (standardized, ~300 mg/day): complements memory consolidation; often taken in the evening to avoid daytime sedation for some.
- Ginkgo biloba (120–240 mg, 24% flavone glycosides): cerebral blood flow and working memory; take in the morning.
- Rhodiola rosea (100–200 mg, 3% rosavins/1% salidroside): stress resilience and fatigue; morning/early afternoon.
- Phosphatidylserine (100–200 mg): membrane health and stress response; AM or PM.
- Magnesium (glycinate 200–400 mg or L‑threonate 1–2 g): synaptic plasticity and sleep; evening.
- Vitamin D3 + B‑complex (esp. B12 and folate): foundational neuro support; with food.
- Curcumin (with enhanced absorption): anti‑inflammatory/neurogenic complement; with meals.
- Acetyl‑L‑carnitine (ALCAR 500–1000 mg): mitochondrial energy and cholinergic support; morning.
- Creatine monohydrate (3–5 g): cognitive support under stress/sleep loss; any time.
- Probiotics/prebiotics (e.g., inulin): gut–brain axis support; daily.

Example day (compact):
- Morning: Lion’s Mane 500–1000 mg + L‑theanine 100–200 mg + caffeine 50–100 mg + CDP‑choline 250 mg or Alpha‑GPC 300 mg + DHA 500–1000 mg ± Ginkgo 120 mg or Rhodiola 150 mg.
- Evening: Lion’s Mane 500–1000 mg + magnesium (glycinate or threonate) + Bacopa 300 mg.
- Optional anytime: Creatine 3–5 g; Curcumin with a meal; Vitamin D3 and B‑complex with breakfast.

Combine with caution:
- Bleeding risk: Lion’s Mane may have mild antiplatelet effects; be cautious stacking with ginkgo, high‑dose fish oil, curcumin, garlic/ginger, or if using anticoagulants/antiplatelets or before surgery.
- Immune modulation: caution with autoimmune conditions or immunosuppressants.
- Stimulants: monitor anxiety/insomnia; avoid late‑day caffeine or pairing strong stimulants together.
- Mushroom allergy sensitivity possible.
- Introduce one change at a time and allow 6–12 weeks to gauge full effects."
NR/NMN,Every 2 Days,☀️ Morning: Fasted,Have it,5,checked,,,,,,,,,,,,🔋 Longevity / Cellular Health,,,
Rhodiola Rosea,Daily,☀️ Morning: Fasted,Have it,10,checked,checked,200-400mg,,,,,,,,,,,,,
Alpha Lipoic Acid,Daily,☀️ Morning: Fed,Have it,9,checked,checked,"General antioxidant support: 300–600 mg/day
Insulin sensitivity / fat loss: 300 mg 2–3× daily with meals (esp. carb meals)
Neuropathy / nerve healing (your foot recovery): up to 600 mg 2× daily used in clinical trials",Alpha Lipoic Acid,🦶 Feet Injury,checked,,,"🔑 Core Benefits of ALA for You
1. Fat Loss & Glucose Control

ALA makes your cells more insulin sensitive → glucose goes into muscles (not fat).

Works like a natural “insulin mimetic,” similar to berberine but via different pathways.

✅ For you: helps with your extreme fat loss phase and prevents carb spillover into fat storage.

2. Mitochondrial Energy Production

Co-factor in the Krebs cycle → helps convert carbs, fats, proteins into ATP.

Synergizes with CoQ10 + L-Carnitine + Riboflavin, which are already in your stack.

✅ For you: more training energy, better muscle pump, less fatigue during workouts.

3. Antioxidant & Healing

ALA is both fat- and water-soluble → can cross cell membranes and the blood-brain barrier.

Recycles other antioxidants (Vitamin C, Vitamin E, Glutathione).

Works with NAC + Selenium to raise glutathione peroxidase, which your TruHealth flagged as critically low.

✅ For you: improves recovery, skin health, and speeds up tissue healing (important for your feet).

4. Anti-Aging & Longevity

Improves mitochondrial function → reduces ROS (oxidative stress).

Supports healthy nerves → used in Europe for diabetic neuropathy and nerve pain.

✅ For you: helps with nerve repair post-foot surgery and prevents oxidative aging.

⚡ In Practice (for Vishen)

Morning with CoQ10 + Carnitine = 🔥 metabolism boost, ATP output for training.

Before carb meals (optional) = insulin sensitivity → less fat gain, more glycogen into muscles.

With NAC + Selenium = rebuilds glutathione → fixes your flagged low oxidative defense.

👉 So in simple terms:
ALA will make your fat loss cleaner, your workouts more energized, your recovery faster, and your antioxidant defenses stronger.

Would you like me to also flag if there’s a “maximum useful dose” for you (so you don’t waste capsules or overshoot)?

You said:
Give it a rating of 1 to 10 based on how important it is for me now given everything you know about my health
ChatGPT said:

Alright, Vishen — weighing your labs, goals, and stack, here’s how I’d rate Alpha-Lipoic Acid (ALA) for you right now:

🔎 Why it matters for you

TruHealth flagged critically low glutathione peroxidase → ALA is one of the best ways to restore this defense (when paired with NAC + selenium).

You’re in rapid fat loss + muscle gain mode → ALA improves glucose disposal into muscle, keeping insulin sensitivity sharp.

You’re dealing with healing (feet) → ALA reduces oxidative stress, supports nerve repair, improves circulation.

It synergizes perfectly with CoQ10 + L-Carnitine + Riboflavin (which you already take).
Alpha-Lipoic Acid (ALA) is a bit special in timing because it’s both water- and fat-soluble, and it competes with minerals for absorption. Here’s the breakdown for you:

⏰ Best Timing

Take on an empty stomach → 30–60 min before meals, or at least 2 hours after eating.

If you’re using it for blood sugar control / fat loss → take just before your carb-containing meals (ALA improves glucose uptake into muscles).

If using for antioxidant & mitochondria support → morning or early afternoon is best (synergizes with CoQ10, carnitine, riboflavin — all in your AM stack).

⚡ Synergies

Works very well with NAC + Selenium → boosts glutathione and antioxidant defense (exactly what your TruHealth flagged low).

Pairs with CoQ10 + L-Carnitine → enhances mitochondrial energy output.

Can be combined with Berberine at mealtime to further improve insulin sensitivity.

🚫 Avoid

Don’t take with high-dose minerals (magnesium, iron, zinc, calcium) → they block ALA absorption.

Don’t take too close to bedtime → in some people it’s mildly stimulating.

👉 For your goals (fat loss + mitochondria + feet healing), I’d recommend:

Morning, empty stomach, stacked with CoQ10 + Carnitine + Riboflavin.

Optional: before your largest carb meal if you’re using it primarily for insulin control.",50 mg oral ,,,🛡️ Antioxidants / Detox,"NAC (N-Acetyl Cysteine),Selenium,Coenzyme Q10 (CoQ10),Acetyl-L-Carnitine","iron,Zinc,Calcium,Magnesium (Generic)","Alpha-lipoic acid (ALA) and R-alpha-lipoic acid (R-ALA) pair well with the following on the same day:

- Acetyl‑L‑carnitine (ALCAR): Mitochondrial and nerve support; common combo. Typical: ALA 300–600 mg (or R‑ALA 100–300 mg) + ALCAR 500–1,500 mg, morning/early afternoon.
- NAC (± glycine): Boosts glutathione that ALA helps recycle. NAC 600–1,200 mg; glycine 1–3 g.
- Vitamins C and E: Antioxidant network synergy. Vitamin C 250–500 mg; vitamin E (mixed tocopherols) 100–200 IU.
- CoQ10 (ubiquinone/ubiquinol): Mitochondrial antioxidant/energy support. 100–200 mg.
- Chromium (e.g., picolinate): Insulin sensitivity complement. 200–1,000 mcg; monitor for low blood sugar if on glucose‑lowering meds.
- Biotin: Offsets potential uptake competition with ALA. 300–1,000 mcg (often taken a few hours apart from ALA).
- Thiamine/benfotiamine: Nerve and glucose metabolism support; especially if deficiency risk. Thiamine 50–100 mg or benfotiamine 150–300 mg 1–2×/day.
- Magnesium (e.g., glycinate): Metabolic and nerve function. 200–400 mg; take 3–4 hours away from ALA (ALA can chelate minerals).
- Omega‑3s (EPA/DHA): Cardiometabolic and anti‑inflammatory complement. 1–2 g EPA+DHA/day.
- Selenium: Supports glutathione peroxidase. 100–200 mcg/day (don’t exceed 200 mcg without guidance).
- Curcumin or resveratrol: Additional antioxidant/anti‑inflammatory and metabolic signaling support. Curcumin 500–1,000 mg with bioenhancer; resveratrol 100–200 mg.
- Taurine: Nerve and glucose support. 500–2,000 mg.
- Berberine: Strong glycemic synergy; 300–500 mg 2–3×/day; increased hypoglycemia risk when combined with ALA—monitor closely.

Use notes
- ALA/R‑ALA absorb best on an empty stomach; if it upsets your stomach, take with a small, low‑mineral snack.
- Separate ALA from mineral supplements (iron, zinc, magnesium, calcium) by 3–4 hours due to chelation.
- R‑ALA is the more bioactive isomer; stabilized forms (e.g., Na‑R‑ALA) improve absorption. Dose R‑ALA at ~50–60% of racemic ALA.
- Cautions: May lower blood glucose; monitor if you use diabetes meds/insulin or berberine. Use care with thyroid meds (space doses and monitor labs). Ensure adequate thiamine if alcohol use or deficiency risk. Not established in pregnancy/lactation."
B-Complex,Daily,☀️ Morning: Fed,Have it,9,checked,checked,,,,,,,,,,,,,,
